Field=#~Integer~#~50|Field=Name~String~Name~228|Field=LibRef~String~LibRef~139|Field=Manufacturer~String~Manufacturer~133|Field=P/N~String~P/N~112|Field=Package~String~Package~111|Field=Footprint~String~Footprint~80|Field=Type~String~Type~82|Field=Value~String~Value~64|Field=Quantity~Integer~Quantity~58|Field=Description~String~Description~100|Field=Mate With~String~Mate With~100|ReportField=Currency~<none>|ReportField=ProductionQuantity~1|ReportField=ProjectFileName~USRP2_Clone.PrjPcb|ReportField=ProjectFullPath~D:\Altium_Projects\SDR\USRP2_Clone\USRP2_Clone.PrjPcb|ReportField=Title~Bill of Materials For Project [USRP2_Clone.PrjPcb] (No PCB Document Selected)|ReportField=TotalQuantity~790|ReportField=ReportTime~17:27:17|ReportField=ReportDate~19.03.2016|ReportField=ReportDateTime~19.03.2016 17:27:17|ReportField=OutputName~Bill of Materials|ReportField=OutputType~BOM_PartType|ReportField=GeneratorName~BOM|ReportField=GeneratorDescription~Bill of Materials|ReportField=VariantName~None|ReportField=Address1~|ReportField=Address2~|ReportField=Address3~|ReportField=Address4~|ReportField=Application_BuildNumber~|ReportField=ApprovedBy~|ReportField=Author~|ReportField=CheckedBy~|ReportField=CompanyName~|ReportField=ConfigurationParameters~|ReportField=CurrentDate~19.03.2016|ReportField=CurrentTime~17:12:12|ReportField=Date~|ReportField=DocumentFullPathAndName~D:\Altium_Projects\SDR\USRP2_Clone\Clocking.SchDoc|ReportField=DocumentName~Clocking.SchDoc|ReportField=DocumentNumber~ПЛАС.ХХХХХХ.ХХХ ХХ|ReportField=DrawnBy~|ReportField=Engineer~|ReportField=ImagePath~|ReportField=ModifiedDate~12.03.2016|ReportField=Organization~|ReportField=PageSetup~Record=PageOptions:CenterHorizontal=False:CenterVertical=False:PrintScale=0.95:XCorrection=0.00:YCorrection=0.00:PrintKind=1:BorderSize=5000000:LeftOffset=0:BottomOffset=0:Orientation=1:PaperLength=1000:PaperWidth=1000:Scale=100:PaperSource=15:PrintQuality=600:MediaType=1:DitherType=10:PaperKind=A4:PrintScaleMode=1|ReportField=ProjectName~USRP2_Clone.PrjPcb|ReportField=Revision~|ReportField=Rule~Undefined|ReportField=SheetNumber~6|ReportField=SheetTotal~11|ReportField=Time~|ReportField=Title~{Наименование}|ReportField=DocumentType~Схема|ReportField=DocumentType1str~|ReportField=DocumentType2str~|ReportField=EngineerName~|ReportField=Letter1Column~{}|ReportField=Letter2Column~{}|ReportField=Letter3Column~{}|ReportField=Mass~{М.}|ReportField=NormInspection~{Н.контр.}|ReportField=ProcessInspection~{Т.контр.}|ReportField=Scale~{Мш.}|ReportField=Title1str~|ReportField=Title2str~|ReportField=DataSourceFileName~USRP2_Clone.PrjPcb|ReportField=DataSourceFullPath~D:\Altium_Projects\SDR\USRP2_Clone\USRP2_Clone.PrjPcb|ReportField=PCBDataSourceFileName~MotherBoard.PcbDoc|ReportField=PCBDataSourceFullPath~D:\Altium_Projects\SDR\USRP2_Clone\MotherBoard.PcbDoc
1||Cap uF|Murata||C1210|C1210|Ceramic|100uF|41|Cer Cap Large|
2||Cap uF|Murata||C1210|C1210|Ceramic|33uF|1|Cer Cap Large|
3||Cap uF|Murata||C1210|C1210|Ceramic|47uF|2|Cer Cap Large|
4||Cer Cap|Murata||0402|C0603|Ceramic|0.1uF|1|Cer Cap Small|
5||Cer Cap|Murata||0402|C0603|Ceramic|10uF|3|Cer Cap Small|
6||Cer Cap|Murata||0402|C0603|Ceramic|1uF|1|Cer Cap Small|
7||Cer Cap|Murata||0402|C0603|Ceramic|2.2uF|2|Cer Cap Small|
8||Cer Cap|Murata||0402|С0402|Ceramic|0.1uF|57|Cer Cap Small|
9||Cer Cap|Murata||0402|С0402|Ceramic|0.22uF|1|Cer Cap Small|
10||Cer Cap|Murata||0402|С0402|Ceramic|100nF|1|Cer Cap Small|
11||Cer Cap|Murata||0402|С0402|Ceramic|100pF|1|Cer Cap Small|
12||Cer Cap|Murata||0402|С0402|Ceramic|10nF|113|Cer Cap Small|
13||Cer Cap|Murata||0402|С0402|Ceramic|1uF|1|Cer Cap Small|
14||Cer Cap|Murata||0402|С0402|Ceramic|47nF|16|Cer Cap Small|
15||Cer Cap|Murata||0402|С0402|Ceramic|NONE|2|Cer Cap Small|
16||Cer Cap|Murata||0603|C0603|Ceramic|0.01uF|3|Cer Cap Small|
17||Cer Cap|Murata||0603|C0603|Ceramic|0.1uF|89|Cer Cap Small|
18||Cer Cap|Murata||0603|C0603|Ceramic|100nF|6|Cer Cap Small|
19||Cer Cap|Murata||0603|C0603|Ceramic|1uF|6|Cer Cap Small|
20||Cer Cap|Murata||0603|C0603|Ceramic|220pF|52|Cer Cap Small|
21||Cer Cap|Murata||0603|C0603|Ceramic|3.3nF|3|Cer Cap Small|
22||Cer Cap|Murata||0603|C0603|Ceramic|33nF|3|Cer Cap Small|
23||Cer Cap|Murata||0603|C0603|Ceramic|4.7nF|3|Cer Cap Small|
24||Cer Cap|Murata||0603|C0603|Ceramic|470nF|1|Cer Cap Small|
25||Cer Cap|Murata||0603|C0603|Ceramic|8200pF|1|Cer Cap Small|
26||Cer Cap|Murata||0805|C0805|Ceramic|0.1uF|9|Cer Cap Small|
27||Cer Cap|Murata||0805|C0805|Ceramic|10nF|1|Cer Cap Small|
28||Cer Cap|Murata||0805|C0805|Ceramic|120pF|1|Cer Cap Small|
29||Cer Cap|Murata||0805|C0805|Ceramic|1uF|7|Cer Cap Small|
30||Cer Cap|Murata||0805|C0805|Ceramic|22uF|4|Cer Cap Small|
31||Cer Cap|Murata||0805|C0805|Ceramic|4.7uF|1|Cer Cap Small|
32||Cer Cap|Murata||0805|C0805|Ceramic|47nF|2|Cer Cap Small|
33||Cer Cap|Murata||1206|C1206|Ceramic|1uF|1|Cer Cap Small|
34||Cer Cap|Murata||1206|C1206|Ceramic|4.7uF|2|Cer Cap Small|
